step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
34,1.3600,0.1986,0.0000,0.4943,0.1227,0.0035,0.0315,-0.0265,0.1710,0.2766,-0.1191,0.1930,0.2244,0.00844,-0.00801,-0.0108,-0.1451,-0.0919,0.0417,-0.00650,0.00322,0.2034,0.4030
35,1.4000,0.2042,0.0000,0.4950,0.1409,-0.0065,0.0274,0.0203,-0.0624,0.3407,-0.1138,0.1922,0.2241,0.01042,-0.00815,-0.0198,-0.1219,-0.1116,0.0299,-0.01010,0.00189,0.2093,0.4145
36,1.4400,0.2097,0.0000,0.4956,0.1599,-0.0129,0.0367,0.0527,-0.3051,0.4320,-0.1080,0.1910,0.2239,0.00161,-0.00624,-0.0219,-0.1456,-0.1245,0.0303,-0.00917,0.00189,0.2153,0.4261
37,1.4800,0.2154,0.0000,0.4961,0.1342,0.0120,0.0687,-0.0711,0.3380,0.3990,-0.1022,0.1901,0.2246,0.00502,-0.00571,0.0117,-0.1667,-0.1508,-0.0195,-0.00234,0.00782,0.2212,0.4375
38,1.5200,0.2212,0.0000,0.4966,0.1536,0.0209,0.0125,-0.1106,0.0535,0.2745,-0.0963,0.1905,0.2246,0.01164,-0.01016,-0.0144,-0.1210,-0.0666,0.0141,-0.00920,0.00238,0.2271,0.4490
39,1.5600,0.2269,0.0000,0.4970,0.1659,-0.0070,0.0141,0.0156,-0.0536,0.4679,-0.0899,0.1902,0.2235,0.01168,-0.01130,-0.0336,-0.1442,-0.1310,0.0250,-0.01286,0.00300,0.2331,0.4604
40,1.6000,0.2327,0.0000,0.4974,0.1698,0.0010,0.0438,-0.0198,0.0536,0.3462,-0.0832,0.1895,0.2230,0.01145,-0.01048,-0.0237,-0.1613,-0.1060,-0.0105,-0.00956,0.00300,0.2390,0.4718
41,1.6400,0.2387,0.0000,0.4977,0.1833,-0.0167,0.0521,0.0663,-0.0652,0.4427,-0.0762,0.1889,0.2236,0.01182,-0.00949,-0.0467,-0.1447,-0.1377,0.0387,-0.01238,0.00305,0.2449,0.4832
42,1.6800,0.2446,0.0000,0.4980,0.1986,-0.0059,0.0488,0.0192,-0.2192,0.3592,-0.0686,0.1880,0.2240,0.00456,-0.00704,0.0035,-0.1497,-0.1039,0.0165,-0.01075,0.00265,0.2508,0.4946
43,1.7200,0.2507,0.0000,0.4982,0.2001,0.0187,0.0397,-0.0997,-0.1477,0.2978,-0.0608,0.1882,0.2243,-0.00254,-0.00878,0.0088,-0.1425,-0.0932,-0.0062,-0.00521,0.00344,0.2567,0.5059
44,1.7600,0.2565,0.0000,0.4984,0.1913,0.0063,0.0433,-0.0466,0.1233,0.4377,-0.0530,0.1886,0.2245,-0.00080,-0.01147,-0.0132,-0.1565,-0.1440,0.0348,-0.00273,0.00628,0.2626,0.5172
45,1.8000,0.2624,0.0000,0.4986,0.2019,0.0039,0.0156,-0.0300,0.0184,0.3607,-0.0451,0.1889,0.2241,0.00122,-0.01273,-0.0198,-0.1449,-0.0890,-0.0166,-0.00570,0.00297,0.2685,0.5284
46,1.8400,0.2683,0.0000,0.4988,0.2019,-0.0095,0.0352,0.0379,0.1370,0.3637,-0.0370,0.1889,0.2235,0.00535,-0.01232,-0.0235,-0.1412,-0.1224,0.0462,-0.00615,0.00571,0.2744,0.5396
47,1.8800,0.2742,0.0000,0.4989,0.2180,-0.0003,0.0469,-0.0088,-0.0446,0.3628,-0.0286,0.1890,0.2237,0.00613,-0.01168,0.0058,-0.1447,-0.0902,-0.0022,-0.00724,0.00303,0.2803,0.5508
48,1.9200,0.2800,0.0000,0.4990,0.2239,0.0132,0.0310,-0.0751,-0.0542,0.3467,-0.0198,0.1898,0.2237,0.00397,-0.01327,0.0038,-0.1435,-0.0866,-0.0215,-0.00472,0.00188,0.2862,0.5620
49,1.9600,0.2858,0.0000,0.4992,0.2369,-0.0038,0.0284,0.0061,-0.2224,0.4499,-0.0107,0.1907,0.2234,-0.00148,-0.01489,-0.0223,-0.1435,-0.1223,0.0309,-0.00654,0.00228,0.2921,0.5731
50,2.0000,0.2916,0.0000,0.4993,0.2333,-0.0143,0.0344,0.0608,-0.0402,0.4310,-0.0014,0.1909,0.2232,-0.00598,-0.01284,-0.0317,-0.1496,-0.1241,-0.0176,-0.00368,0.00590,0.2980,0.5841
51,2.0400,0.2975,0.0000,0.4994,0.2295,0.0151,0.0508,-0.0826,0.1152,0.3245,0.0078,0.1919,0.2235,-0.00425,-0.01338,0.0095,-0.1630,-0.0942,-0.0132,-0.00064,0.00503,0.3039,0.5952
52,2.0800,0.3034,0.0000,0.4994,0.2395,0.0044,0.0299,-0.0318,-0.0159,0.3366,0.0170,0.1936,0.2237,-0.00183,-0.01630,-0.0080,-0.1276,-0.0893,0.0278,-0.00316,0.00334,0.3098,0.6062
53,2.1200,0.3091,0.0000,0.4995,0.2435,-0.0194,0.0318,0.0861,0.0014,0.3887,0.0266,0.1944,0.2234,-0.00169,-0.01458,-0.0155,-0.1375,-0.1265,0.0195,-0.00502,0.00521,0.3156,0.6171
54,2.1600,0.3148,0.0000,0.4996,0.2395,-0.0006,0.0499,-0.0082,0.1868,0.4398,0.0363,0.1953,0.2236,0.00231,-0.01262,-0.0130,-0.1731,-0.1187,-0.0409,-0.00305,0.00486,0.3215,0.6280
55,2.2000,0.3205,0.0000,0.4996,0.2433,0.0182,0.0324,-0.1012,0.2146,0.3502,0.0459,0.1973,0.2237,0.01047,-0.01525,-0.0114,-0.1570,-0.0874,-0.0093,-0.00421,0.00174,0.3273,0.6389
