step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
71,2.8400,0.0715,0.0000,-0.4999,-0.0534,0.0090,0.0191,-0.0510,0.1357,-0.4122,0.3644,0.2787,0.2250,-0.00842,3.13390,0.0049,-0.1142,-0.0962,0.0662,0.00000,0.00000,0.4203,0.8069
72,2.8800,0.0810,0.0000,-0.5000,-0.0530,-0.0020,0.0250,-0.0070,0.2522,-0.4217,0.3657,0.2775,0.2244,0.00031,3.13444,-0.0194,-0.0911,-0.0931,0.0810,0.00000,0.00000,0.4261,0.8170
73,2.9200,0.0906,0.0000,-0.5000,-0.0383,-0.0077,0.0145,0.0454,0.1576,-0.5572,0.3670,0.2768,0.2236,0.00768,3.13270,-0.0265,-0.0742,-0.0599,0.0511,0.00000,0.00000,0.4318,0.8270
74,2.9600,0.1004,0.0000,-0.5000,-0.0202,-0.0171,0.0452,0.0943,0.0162,-0.3897,0.3681,0.2767,0.2234,0.01109,3.12903,-0.0238,-0.0922,-0.1203,0.0806,0.00000,0.00000,0.4375,0.8370
75,3.0000,0.1101,0.0000,-0.5000,-0.0187,0.0145,0.0578,-0.0670,0.1840,-0.5154,0.3685,0.2766,0.2241,0.01459,3.12796,0.0101,-0.1200,-0.0877,0.0192,0.00000,0.00000,0.4433,0.8470
76,3.0400,0.1199,0.0000,-0.5000,-0.0030,0.0003,0.0220,0.0063,0.0833,-0.4371,0.3683,0.2761,0.2242,0.02038,3.13065,-0.0514,-0.0987,-0.1060,0.0651,0.00000,0.00000,0.4490,0.8568
77,3.0800,0.1297,0.0000,-0.5000,0.0074,-0.0065,0.0242,0.0422,0.1454,-0.4208,0.3682,0.2765,0.2235,0.02449,3.12869,-0.0236,-0.0995,-0.0915,0.0645,0.00000,0.00000,0.4547,0.8667
78,3.1200,0.1395,0.0000,-0.5000,0.0378,0.0139,0.0411,-0.0602,-0.2032,-0.4693,0.3672,0.2770,0.2233,0.02211,3.13037,0.0134,-0.0887,-0.0889,0.0301,0.00000,0.00000,0.4604,0.8764
79,3.1600,0.1491,0.0000,-0.5000,0.0495,-0.0022,0.0699,0.0196,-0.1717,-0.3311,0.3659,0.2779,0.2242,0.01512,3.13159,-0.0028,-0.1263,-0.1505,0.0596,0.00000,0.00000,0.4662,0.8861
80,3.2000,0.1585,0.0000,-0.5000,0.0445,0.0057,0.0443,-0.0218,0.1340,-0.4635,0.3644,0.2794,0.2249,0.01474,3.13090,-0.0041,-0.1144,-0.0880,0.0163,0.00000,0.00000,0.4719,0.8958
81,3.2400,0.1677,0.0000,-0.5000,0.0541,-0.0013,0.0089,0.0165,0.1316,-0.4487,0.3626,0.2808,0.2243,0.02068,3.13175,-0.0398,-0.0877,-0.1014,0.0587,0.00000,0.00000,0.4775,0.9054
82,3.2800,0.1769,0.0000,-0.5000,0.0797,-0.0052,0.0280,0.0362,-0.1163,-0.3860,0.3608,0.2829,0.2234,0.01999,3.13050,-0.0055,-0.0875,-0.1066,0.0585,0.00000,0.00000,0.4832,0.9149
83,3.3200,0.1859,0.0000,-0.5000,0.0935,0.0112,0.0594,-0.0462,-0.1453,-0.4970,0.3582,0.2853,0.2237,0.01390,3.13110,0.0029,-0.1218,-0.1040,0.0252,0.00000,0.00000,0.4889,0.9244
84,3.3600,0.1948,0.0000,-0.5000,0.0878,0.0143,0.0555,-0.0645,0.1615,-0.4581,0.3552,0.2877,0.2247,0.01559,3.13454,0.0014,-0.1221,-0.1003,0.0216,0.00000,0.00000,0.4946,0.9338
85,3.4000,0.2037,0.0000,-0.5000,0.1014,-0.0058,0.0100,0.0384,0.1012,-0.3817,0.3523,0.2906,0.2243,0.02073,3.13584,-0.0300,-0.0893,-0.0855,0.0571,0.00000,0.00000,0.5002,0.9432
86,3.4400,0.2125,0.0000,-0.5000,0.1275,-0.0033,0.0387,0.0278,-0.1688,-0.4318,0.3495,0.2942,0.2235,0.01816,3.13386,0.0204,-0.0933,-0.1094,0.0641,0.00000,0.00000,0.5059,0.9525
87,3.4800,0.2209,0.0000,-0.5000,0.1385,0.0026,0.0583,-0.0019,-0.1323,-0.6011,0.3460,0.2983,0.2240,0.01174,3.13352,-0.0071,-0.1092,-0.0929,0.0343,0.00000,0.00000,0.5115,0.9617
88,3.5200,0.2294,0.0000,-0.5000,0.1362,0.0011,0.0459,0.0007,0.0854,-0.3717,0.3425,0.3027,0.2247,0.01216,3.13325,-0.0183,-0.1247,-0.1332,-0.0040,0.00000,0.00000,0.5172,0.9709
