step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
44,1.7600,0.4486,0.0000,-0.0378,0.5411,0.0007,0.0203,-0.0051,-0.0018,-0.0146,-0.1709,0.1660,0.2241,-0.03139,-0.02312,0.0271,-0.1098,-0.1061,0.0129,0.00000,0.00000,0.2626,0.5172
45,1.8000,0.4487,0.0000,-0.0387,0.5425,0.0028,0.0181,-0.0158,-0.0061,-0.0258,-0.1606,0.1851,0.2240,-0.03167,-0.02381,0.0269,-0.1108,-0.1031,0.0164,0.00000,0.00000,0.2685,0.5284
46,1.8400,0.4489,0.0000,-0.0397,0.5433,0.0015,0.0199,-0.0093,0.0044,-0.0210,-0.1503,0.2042,0.2240,-0.03161,-0.02460,0.0290,-0.1092,-0.1062,0.0193,0.00000,0.00000,0.2744,0.5396
47,1.8800,0.4490,0.0000,-0.0406,0.5456,-0.0003,0.0194,-0.0000,-0.0160,0.0034,-0.1399,0.2232,0.2240,-0.03191,-0.02476,0.0270,-0.1107,-0.1076,0.0119,0.00000,0.00000,0.2803,0.5508
48,1.9200,0.4491,0.0000,-0.0417,0.5465,-0.0005,0.0199,0.0014,-0.0112,-0.0142,-0.1294,0.2424,0.2240,-0.03253,-0.02436,0.0308,-0.1080,-0.1044,0.0225,0.00000,0.00000,0.2862,0.5620
49,1.9600,0.4492,0.0000,-0.0429,0.5474,0.0007,0.0187,-0.0050,-0.0095,-0.0229,-0.1189,0.2615,0.2240,-0.03293,-0.02429,0.0289,-0.1073,-0.1039,0.0122,0.00000,0.00000,0.2921,0.5731
50,2.0000,0.4493,0.0000,-0.0441,0.5477,-0.0004,0.0075,0.0005,0.0035,-0.0603,-0.1083,0.2807,0.2237,-0.03327,-0.02406,0.0184,-0.0978,-0.0826,0.0207,0.00000,0.00000,0.2980,0.5841
51,2.0400,0.4494,0.0000,-0.0451,0.5478,0.0015,0.0123,-0.0095,0.0233,-0.0443,-0.0978,0.2999,0.2233,-0.03277,-0.02405,0.0200,-0.1042,-0.0880,0.0203,0.00000,0.00000,0.3039,0.5952
52,2.0800,0.4495,0.0000,-0.0460,0.5503,0.0017,0.0173,-0.0105,0.0133,-0.0498,-0.0872,0.3191,0.2231,-0.03209,-0.02469,0.0205,-0.1032,-0.0877,0.0198,0.00000,0.00000,0.3098,0.6062
53,2.1200,0.4495,0.0000,-0.0468,0.5533,-0.0003,0.0182,-0.0001,-0.0034,-0.0580,-0.0765,0.3384,0.2231,-0.03200,-0.02469,0.0206,-0.1025,-0.0890,0.0165,0.00000,0.00000,0.3156,0.6171
54,2.1600,0.4496,0.0000,-0.0475,0.5549,0.0006,0.0207,-0.0047,0.0051,-0.0588,-0.0657,0.3577,0.2231,-0.03208,-0.02439,0.0255,-0.1028,-0.0864,0.0185,0.00000,0.00000,0.3215,0.6280
55,2.2000,0.4496,0.0000,-0.0480,0.5572,0.0012,0.0192,-0.0079,-0.0054,-0.0625,-0.0549,0.3771,0.2231,-0.03215,-0.02459,0.0246,-0.1021,-0.0884,0.0168,0.00000,0.00000,0.3273,0.6389
56,2.2400,0.4497,0.0000,-0.0484,0.5596,-0.0008,0.0186,0.0024,-0.0156,-0.0528,-0.0440,0.3965,0.2231,-0.03263,-0.02442,0.0241,-0.1007,-0.0896,0.0219,0.00000,0.00000,0.3332,0.6497
57,2.2800,0.4497,0.0000,-0.0487,0.5620,0.0003,0.0180,-0.0030,-0.0324,-0.0517,-0.0330,0.4159,0.2231,-0.03374,-0.02398,0.0267,-0.1006,-0.0894,0.0142,0.00000,0.00000,0.3390,0.6605
58,2.3200,0.4498,0.0000,-0.0490,0.5628,0.0009,0.0181,-0.0065,-0.0248,-0.0600,-0.0219,0.4354,0.2231,-0.03486,-0.02398,0.0276,-0.0986,-0.0908,0.0181,0.00000,0.00000,0.3449,0.6713
59,2.3600,0.4498,0.0000,-0.0492,0.5629,0.0016,0.0166,-0.0103,-0.0103,-0.0575,-0.0108,0.4550,0.2231,-0.03554,-0.02423,0.0264,-0.1002,-0.0911,0.0112,0.00000,0.00000,0.3507,0.6820
60,2.4000,0.4498,0.0000,-0.0494,0.5638,0.0015,0.0170,-0.0097,-0.0122,-0.0542,0.0003,0.4745,0.2230,-0.03608,-0.02471,0.0262,-0.1020,-0.0893,0.0196,0.00000,0.00000,0.3566,0.6927
61,2.4400,0.4498,0.0000,-0.0496,0.5635,0.0003,0.0177,-0.0033,0.0080,-0.0496,0.0115,0.4941,0.2231,-0.03606,-0.02479,0.0255,-0.1016,-0.0923,0.0153,0.00000,0.00000,0.3624,0.7033
62,2.4800,0.4499,0.0000,-0.0498,0.5653,0.0005,0.0178,-0.0040,-0.0126,-0.0556,0.0227,0.5136,0.2231,-0.03627,-0.02473,0.0277,-0.1018,-0.0917,0.0174,0.00000,0.00000,0.3682,0.7139
63,2.5200,0.4499,0.0000,-0.0499,0.5657,0.0013,0.0170,-0.0086,-0.0120,-0.0512,0.0340,0.5331,0.2231,-0.03679,-0.02482,0.0265,-0.1035,-0.0951,0.0088,0.00000,0.00000,0.3740,0.7244
64,2.5600,0.4499,0.0000,-0.0501,0.5663,0.0008,0.0160,-0.0059,-0.0193,-0.0373,0.0453,0.5526,0.2231,-0.03747,-0.02509,0.0268,-0.1026,-0.0942,0.0153,0.00000,0.00000,0.3798,0.7349
65,2.6000,0.4499,0.0000,-0.0504,0.5664,0.0009,0.0167,-0.0063,-0.0160,-0.0451,0.0567,0.5722,0.2232,-0.03821,-0.02520,0.0307,-0.1012,-0.0919,0.0185,0.00000,0.00000,0.3856,0.7453
66,2.6400,0.4499,0.0000,-0.0507,0.5665,-0.0003,0.0153,-0.0000,-0.0190,-0.0394,0.0681,0.5916,0.2232,-0.03882,-0.02510,0.0283,-0.0994,-0.0966,0.0118,0.00000,0.00000,0.3914,0.7557
67,2.6800,0.4499,0.0000,-0.0512,0.5653,0.0012,0.0156,-0.0080,-0.0012,-0.0456,0.0796,0.6111,0.2232,-0.03931,-0.02499,0.0295,-0.1033,-0.0930,0.0143,0.00000,0.00000,0.3972,0.7661
68,2.7200,0.4497,0.0000,-0.0517,0.5641,-0.0011,0.0233,0.0044,0.0230,-0.0422,0.0910,0.6305,0.2234,-0.03861,-0.02487,0.0275,-0.1095,-0.1100,0.0249,0.00000,0.00000,0.4030,0.7763
69,2.7600,0.4487,0.0000,-0.0523,0.5658,-0.0008,0.0227,0.0025,-0.0037,-0.0517,0.1025,0.6500,0.2237,-0.03849,-0.02422,0.0325,-0.1104,-0.0988,0.0178,0.00000,0.00000,0.4088,0.7866
70,2.8000,0.4470,0.0000,-0.0529,0.5651,-0.0006,0.0183,0.0017,-0.0013,-0.0482,0.1140,0.6693,0.2239,-0.03856,-0.02361,0.0310,-0.1094,-0.1060,0.0186,0.00000,0.00000,0.4145,0.7968
71,2.8400,0.4448,0.0000,-0.0535,0.5651,-0.0002,0.0146,-0.0003,-0.0113,-0.0489,0.1256,0.6887,0.2239,-0.03885,-0.02320,0.0323,-0.1056,-0.1043,0.0197,0.00000,0.00000,0.4203,0.8069
72,2.8800,0.4420,0.0000,-0.0542,0.5649,-0.0002,0.0161,-0.0005,-0.0152,-0.0522,0.1372,0.7081,0.2239,-0.03937,-0.02288,0.0318,-0.1075,-0.1093,0.0199,0.00000,0.00000,0.4261,0.8170
73,2.9200,0.4388,0.0000,-0.0549,0.5645,-0.0005,0.0160,0.0008,-0.0184,-0.0550,0.1487,0.7274,0.2240,-0.04007,-0.02248,0.0320,-0.1065,-0.1062,0.0181,0.00000,0.00000,0.4318,0.8270
74,2.9600,0.4352,0.0000,-0.0556,0.5637,-0.0003,0.0174,0.0001,-0.0187,-0.0540,0.1604,0.7466,0.2241,-0.04079,-0.02205,0.0359,-0.1072,-0.1096,0.0225,0.00000,0.00000,0.4375,0.8370
75,3.0000,0.4312,0.0000,-0.0563,0.5626,0.0002,0.0143,-0.0027,-0.0233,-0.0430,0.1720,0.7659,0.2242,-0.04165,-0.02177,0.0341,-0.1069,-0.1083,0.0148,0.00000,0.00000,0.4433,0.8470
76,3.0400,0.4269,0.0000,-0.0571,0.5613,0.0007,0.0143,-0.0050,-0.0314,-0.0468,0.1836,0.7850,0.2242,-0.04270,-0.02171,0.0391,-0.1048,-0.1120,0.0224,0.00000,0.00000,0.4490,0.8568
77,3.0800,0.4224,0.0000,-0.0579,0.5588,0.0016,0.0146,-0.0097,-0.0163,-0.0569,0.1951,0.8041,0.2242,-0.04358,-0.02185,0.0378,-0.1072,-0.1131,0.0133,0.00000,0.00000,0.4547,0.8667
78,3.1200,0.4175,0.0000,-0.0588,0.5568,0.0007,0.0132,-0.0051,-0.0207,-0.0608,0.2067,0.8231,0.2243,-0.04430,-0.02204,0.0374,-0.1052,-0.1111,0.0203,0.00000,0.00000,0.4604,0.8764
