step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
56,2.2400,0.5370,0.0000,0.0102,0.3529,0.0064,0.0438,-0.0353,0.0692,0.0464,-28.2575,-75.3232,0.6874,0.01418,-3.11968,-0.0189,-0.1551,-0.0906,-0.0396,-0.01246,-0.00179
57,2.2800,0.5370,0.0000,0.0102,0.3451,0.0228,0.0434,-0.1097,0.2199,-0.0616,-28.2667,-75.3126,0.6873,0.02026,-3.11444,0.0060,-0.1411,-0.0489,0.0132,-0.01168,-0.00184
58,2.3200,0.5370,0.0000,0.0102,0.3585,-0.0037,0.0384,0.0132,-0.0393,0.0511,-28.2758,-75.3018,0.6871,0.02393,-3.11075,-0.0104,-0.1221,-0.0876,0.0217,-0.01630,-0.00197
59,2.3600,0.5370,0.0000,0.0102,0.3536,-0.0117,0.0472,0.0572,0.1252,-0.0178,-28.2842,-75.2901,0.6869,0.02540,-3.11477,-0.0171,-0.1502,-0.0822,-0.0138,-0.01406,-0.00044
60,2.4000,0.5370,0.0000,0.0102,0.3517,-0.0017,0.0611,0.0039,0.2002,0.0605,-28.2928,-75.2787,0.6873,0.03227,-3.11652,-0.0222,-0.1572,-0.0873,-0.0026,-0.01523,-0.00234
61,2.4400,0.5370,0.0000,0.0102,0.3718,0.0144,0.0464,-0.0717,-0.1469,-0.0131,-28.3021,-75.2675,0.6874,0.03131,-3.11362,0.0198,-0.1409,-0.0416,0.0165,-0.01719,-0.00813
62,2.4800,0.5370,0.0000,0.0102,0.3612,0.0018,0.0444,-0.0117,0.1444,0.0213,-28.3114,-75.2561,0.6872,0.03318,-3.11170,-0.0127,-0.1367,-0.0940,-0.0182,-0.01531,-0.00345
63,2.5200,0.5370,0.0000,0.0102,0.3780,-0.0169,0.0364,0.0773,-0.1048,0.0710,-28.3204,-75.2443,0.6868,0.03269,-3.11385,-0.0335,-0.1298,-0.0634,0.0387,-0.01578,-0.00486
64,2.5600,0.5370,0.0000,0.0102,0.3808,0.0089,0.0500,-0.0429,-0.0909,-0.0404,-28.3296,-75.2322,0.6866,0.02778,-3.11581,0.0196,-0.1386,-0.0313,-0.0136,-0.01195,-0.00653
65,2.6000,0.5370,0.0000,0.0102,0.3780,-0.0029,0.0493,0.0120,0.0157,0.0138,-28.3392,-75.2205,0.6868,0.02803,-3.11422,-0.0235,-0.1177,-0.0828,0.0254,-0.01221,-0.00396
66,2.6400,0.5370,0.0000,0.0102,0.3922,-0.0049,0.0387,0.0216,-0.2086,0.0167,-28.3486,-75.2083,0.6866,0.02257,-3.11575,0.0092,-0.1176,-0.0411,0.0181,-0.01374,-0.00557
67,2.6800,0.5370,0.0000,0.0102,0.3869,-0.0115,0.0398,0.0544,-0.0804,0.0170,-28.3579,-75.1959,0.6864,0.01788,-3.11886,-0.0287,-0.1206,-0.0906,0.0009,-0.00980,-0.00170
68,2.7200,0.5370,0.0000,0.0102,0.3808,0.0105,0.0454,-0.0552,0.0513,0.0336,-28.3675,-75.1838,0.6864,0.01702,-3.11914,-0.0173,-0.1510,-0.0620,-0.0314,-0.00772,-0.00245
69,2.7600,0.5370,0.0000,0.0102,0.3770,0.0080,0.0480,-0.0421,0.1300,0.0194,-28.3773,-75.1723,0.6865,0.02163,-3.11556,-0.0138,-0.1307,-0.0700,0.0345,-0.00879,-0.00127
70,2.8000,0.5370,0.0000,0.0102,0.3891,-0.0201,0.0358,0.0907,-0.0695,0.1166,-28.3868,-75.1602,0.6863,0.02256,-3.11767,-0.0351,-0.1154,-0.0793,0.0147,-0.01117,-0.00148
71,2.8400,0.5370,0.0000,0.0102,0.3785,0.0053,0.0445,-0.0299,0.1832,0.0513,-28.3961,-75.1478,0.6860,0.02455,-3.12122,-0.0129,-0.1461,-0.0523,-0.0425,-0.00681,-0.00160
72,2.8800,0.5370,0.0000,0.0102,0.3964,0.0032,0.0452,-0.0212,-0.1645,0.0636,-28.4062,-75.1361,0.6860,0.02443,-3.11799,-0.0297,-0.1205,-0.0654,0.0472,-0.01130,-0.00376
