step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
69,2.7600,0.7229,0.0000,-0.1093,0.7927,-0.0242,-0.3231,0.1290,-0.1886,-0.3573,-25.8484,-75.1960,0.4785,-0.03548,-0.01374,0.0997,-0.1999,-0.2481,0.0881,0.00203,0.01929
70,2.8000,0.7229,0.0000,-0.1093,0.7649,-0.0224,-0.6996,0.0017,-0.0653,-0.3182,-25.8170,-75.1973,0.4577,-0.03607,-0.00704,0.2871,-0.2112,-0.5319,0.3108,0.00707,0.02036
71,2.8400,0.7229,0.0000,-0.1093,0.7618,0.0493,-0.4286,-0.1971,-0.0086,-0.5646,-25.7855,-75.1989,0.4307,-0.04078,-0.00204,0.3325,-0.1992,-0.2278,0.1995,0.00731,0.01997
72,2.8800,0.7229,0.0000,-0.1093,0.7746,0.0499,-0.0005,-0.2462,0.1078,-0.1687,-25.7547,-75.1961,0.4245,-0.03514,-0.01710,-0.2771,-0.1902,-0.2123,0.0384,0.00412,0.01931
73,2.9200,0.7229,0.0000,-0.1093,0.8028,-0.0692,-0.0015,0.3410,-0.2084,-0.1605,-25.7231,-75.1983,0.4244,-0.04008,-0.01230,-0.0752,-0.1259,-0.0166,-0.0492,-0.00289,0.02240
74,2.9600,0.7229,0.0000,-0.1093,0.7938,-0.0040,-0.0132,0.0173,-0.1935,-0.2731,-25.6915,-75.2019,0.4239,-0.05108,-0.00297,0.0112,-0.1552,-0.0068,-0.0241,0.00808,0.01842
75,3.0000,0.7229,0.0000,-0.1093,0.7571,0.0408,-0.0362,-0.2074,0.3514,-0.0491,-25.6606,-75.2025,0.4231,-0.04434,-0.00779,-0.0424,-0.1218,-0.0558,0.0050,0.01353,0.02010
76,3.0400,0.7229,0.0000,-0.1093,0.7711,-0.0093,-0.0592,0.0461,0.0322,-0.0322,-25.6299,-75.2036,0.4206,-0.03596,-0.01129,-0.0615,-0.0576,-0.1047,0.0962,0.00203,0.01654
77,3.0800,0.7229,0.0000,-0.1093,0.7936,0.0307,-0.0022,-0.1749,-0.1348,-0.3547,-25.5987,-75.2054,0.4194,-0.03930,-0.01165,-0.0074,-0.1490,-0.0512,0.0044,0.00281,0.01321
78,3.1200,0.7229,0.0000,-0.1093,0.8075,0.0181,-0.1630,-0.0161,-0.2911,-0.2117,-25.5670,-75.2067,0.4172,-0.04562,-0.01656,-0.1052,-0.0241,-0.3083,0.2508,0.00357,0.01787
